#os;process_name;absolute_path
Windows;powershell.exe;C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
Windows;pwsh.exe;C:\Program Files\PowerShell\7\pwsh.exe
Windows;cmd.exe;C:\Windows\System32\cmd.exe
Windows;wscript.exe;C:\Windows\System32\wscript.exe
Windows;cscript.exe;C:\Windows\System32\cscript.exe
Windows;mshta.exe;C:\Windows\System32\mshta.exe
Windows;rundll32.exe;C:\Windows\System32\rundll32.exe
Windows;regsvr32.exe;C:\Windows\System32\regsvr32.exe
Windows;certutil.exe;C:\Windows\System32\certutil.exe
Windows;bitsadmin.exe;C:\Windows\System32\bitsadmin.exe
Windows;curl.exe;C:\Windows\System32\curl.exe
Windows;ftp.exe;C:\Windows\System32\ftp.exe
Windows;telnet.exe;C:\Windows\System32\telnet.exe
Windows;net.exe;C:\Windows\System32\net.exe
Windows;net1.exe;C:\Windows\System32\net1.exe
Windows;netsh.exe;C:\Windows\System32\netsh.exe
Windows;whoami.exe;C:\Windows\System32\whoami.exe
Windows;hostname.exe;C:\Windows\System32\hostname.exe
Windows;ipconfig.exe;C:\Windows\System32\ipconfig.exe
Windows;arp.exe;C:\Windows\System32\arp.exe
Windows;route.exe;C:\Windows\System32\route.exe
Windows;nslookup.exe;C:\Windows\System32\nslookup.exe
Windows;ping.exe;C:\Windows\System32\ping.exe
Windows;tracert.exe;C:\Windows\System32\tracert.exe
Windows;wmic.exe;C:\Windows\System32\wbem\wmic.exe
Windows;sc.exe;C:\Windows\System32\sc.exe
Windows;schtasks.exe;C:\Windows\System32\schtasks.exe
Windows;wevtutil.exe;C:\Windows\System32\wevtutil.exe
Windows;auditpol.exe;C:\Windows\System32\auditpol.exe
Windows;reg.exe;C:\Windows\System32\reg.exe
Windows;runas.exe;C:\Windows\System32\runas.exe
Windows;tasklist.exe;C:\Windows\System32\tasklist.exe
Windows;taskkill.exe;C:\Windows\System32\taskkill.exe
Windows;vssadmin.exe;C:\Windows\System32\vssadmin.exe
Windows;wbadmin.exe;C:\Windows\System32\wbadmin.exe
Windows;bcdedit.exe;C:\Windows\System32\bcdedit.exe
Windows;nltest.exe;C:\Windows\System32\nltest.exe
Windows;dsquery.exe;C:\Windows\System32\dsquery.exe
Windows;nmap.exe;C:\Program Files (x86)\Nmap\nmap.exe
Windows;Wireshark.exe;C:\Program Files\Wireshark\Wireshark.exe
Windows;PsExec.exe;C:\Tools\Sysinternals\PsExec.exe
Windows;ProcDump.exe;C:\Tools\Sysinternals\ProcDump.exe
Windows;SharpHound.exe;C:\Tools\SharpHound\SharpHound.exe
Windows;BloodHound.exe;C:\Tools\BloodHound\BloodHound.exe
Windows;Rubeus.exe;C:\Tools\Rubeus\Rubeus.exe
Windows;PowerView.ps1;C:\Tools\PowerSploit\PowerView.ps1
Windows;winPEASx64.exe;C:\Tools\WinPEAS\winPEASx64.exe
Windows;nc.exe;C:\Tools\Netcat\nc.exe
Windows;plink.exe;C:\Tools\PuTTY\plink.exe
Windows;mimikatz.exe;C:\Tools\Mimikatz\mimikatz.exe
Linux;bash;/bin/bash
Linux;sh;/bin/sh
Linux;bash;/usr/bin/bash
Linux;sh;/usr/bin/sh
Linux;python3;/usr/bin/python3
Linux;perl;/usr/bin/perl
Linux;ruby;/usr/bin/ruby
Linux;php;/usr/bin/php
Linux;curl;/usr/bin/curl
Linux;wget;/usr/bin/wget
Linux;nc;/usr/bin/nc
Linux;netcat;/usr/bin/netcat
Linux;ncat;/usr/bin/ncat
Linux;socat;/usr/bin/socat
Linux;ssh;/usr/bin/ssh
Linux;scp;/usr/bin/scp
Linux;sftp;/usr/bin/sftp
Linux;rsync;/usr/bin/rsync
Linux;ftp;/usr/bin/ftp
Linux;telnet;/usr/bin/telnet
Linux;nmap;/usr/bin/nmap
Linux;nping;/usr/bin/nping
Linux;masscan;/usr/bin/masscan
Linux;zmap;/usr/bin/zmap
Linux;hping3;/usr/bin/hping3
Linux;tcpdump;/usr/sbin/tcpdump
Linux;tshark;/usr/bin/tshark
Linux;wireshark;/usr/bin/wireshark
Linux;hydra;/usr/bin/hydra
Linux;medusa;/usr/bin/medusa
Linux;john;/usr/bin/john
Linux;hashcat;/usr/bin/hashcat
Linux;sqlmap;/usr/bin/sqlmap
Linux;nikto;/usr/bin/nikto
Linux;gobuster;/usr/bin/gobuster
Linux;ffuf;/usr/bin/ffuf
Linux;dirb;/usr/bin/dirb
Linux;wfuzz;/usr/bin/wfuzz
Linux;enum4linux;/usr/bin/enum4linux
Linux;smbclient;/usr/bin/smbclient
Linux;smbmap;/usr/bin/smbmap
Linux;crackmapexec;/usr/bin/crackmapexec
Linux;responder;/usr/bin/responder
Linux;impacket-secretsdump;/usr/bin/impacket-secretsdump
Linux;impacket-psexec;/usr/bin/impacket-psexec
Linux;msfconsole;/usr/bin/msfconsole
Linux;arp-scan;/usr/bin/arp-scan
Linux;ldapsearch;/usr/bin/ldapsearch
Linux;linpeas.sh;/opt/linpeas/linpeas.sh
Linux;kerbrute;/opt/kerbrute/kerbrute
