name,serial,src_ip
MAD-CPD-FSW01,FSW248EPTF230001,172.16.200.1
MAD-CPD-FSW02,FSW248EPTF230002,172.16.201.1
MAD-CPD-FSW03,FSW248EPTF230003,172.16.202.1
MAD-CPD-FSW04,FSW248EPTF230004,172.16.203.1
MAD-CPD-FSW05,FSW248EPTF230005,172.16.204.1
MAD-CPD-FSW06,FSW248EPTF230006,172.16.205.1
MAD-CPD-FSW07,FSW248EPTF230007,172.16.206.1
MAD-CPD-FSW08,FSW248EPTF230008,172.16.207.1
MAD-CPD-FSW09,FSW248EPTF230009,172.16.208.1
MAD-CPD-FSW10,FSW248EPTF230010,172.16.209.1
MAD-CPD-FSW11,FSW248EPTF230011,172.16.210.1
MAD-CPD-FSW12,FSW248EPTF230012,172.16.211.1
MAD-CPD-FSW13,FSW248EPTF230013,172.16.212.1
MAD-CPD-FSW14,FSW248EPTF230014,172.16.213.1
MAD-CPD-FSW15,FSW248EPTF230015,172.16.214.1
MAD-CPD-FSW16,FSW248EPTF230016,172.16.215.1
MAD-CPD-FSW17,FSW248EPTF230017,172.16.216.1
MAD-CPD-FSW18,FSW248EPTF230018,172.16.217.1
MAD-CPD-FSW19,FSW248EPTF230019,172.16.218.1
MAD-CPD-FSW20,FSW248EPTF230020,172.16.219.1
MAD-CPD-FSW21,FSW248EPTF230021,172.16.220.1
MAD-CPD-FSW22,FSW248EPTF230022,172.16.221.1
MAD-CPD-FSW23,FSW248EPTF230023,172.16.222.1
MAD-CPD-FSW24,FSW248EPTF230024,172.16.223.1
MAD-CPD-FSW25,FSW248EPTF230025,172.16.224.1
MAD-CPD-FSW26,FSW248EPTF230026,172.16.225.1
MAD-CPD-FSW27,FSW248EPTF230027,172.16.226.1
MAD-CPD-FSW28,FSW248EPTF230028,172.16.227.1
MAD-CPD-FSW29,FSW248EPTF230029,172.16.228.1
MAD-CPD-FSW30,FSW248EPTF230030,172.16.229.1
MAD-CPD-FSW31,FSW248EPTF230031,172.16.230.1
MAD-CPD-FSW32,FSW248EPTF230032,172.16.231.1
MAD-CPD-FSW33,FSW248EPTF230033,172.16.232.1
MAD-CPD-FSW34,FSW248EPTF230034,172.16.233.1
MAD-CPD-FSW35,FSW248EPTF230035,172.16.234.1
MAD-CPD-FSW36,FSW248EPTF230036,172.16.235.1
MAD-CPD-FSW37,FSW248EPTF230037,172.16.236.1
MAD-CPD-FSW38,FSW248EPTF230038,172.16.237.1
MAD-CPD-FSW39,FSW248EPTF230039,172.16.238.1
MAD-CPD-FSW40,FSW248EPTF230040,172.16.239.1
MAD-CPD-FSW41,FSW248EPTF230041,172.16.240.1
MAD-CPD-FSW42,FSW248EPTF230042,172.16.241.1
MAD-CPD-FSW43,FSW248EPTF230043,172.16.242.1
MAD-CPD-FSW44,FSW248EPTF230044,172.16.243.1
MAD-CPD-FSW45,FSW248EPTF230045,172.16.244.1
MAD-CPD-FSW46,FSW248EPTF230046,172.16.245.1
MAD-CPD-FSW47,FSW248EPTF230047,172.16.246.1
MAD-CPD-FSW48,FSW248EPTF230048,172.16.247.1
MAD-CPD-FSW49,FSW248EPTF230049,172.16.248.1
MAD-CPD-FSW50,FSW248EPTF230050,172.16.249.1
MAD-CPD-FSW51,FSW248EPTF230051,172.16.250.1
MAD-CPD-FSW52,FSW248EPTF230052,172.16.251.1
MAD-CPD-FSW53,FSW248EPTF230053,172.16.252.1
MAD-CPD-FSW54,FSW248EPTF230054,172.16.253.1
MAD-CPD-FSW55,FSW248EPTF230055,172.16.254.1
MAD-CPD-FSW56,FSW248EPTF230056,172.16.255.1
MAD-CPD-FSW57,FSW248EPTF230057,172.17.0.1
MAD-CPD-FSW58,FSW248EPTF230058,172.17.1.1
MAD-CPD-FSW59,FSW248EPTF230059,172.17.2.1
MAD-CPD-FSW60,FSW248EPTF230060,172.17.3.1
MAD-CPD-FSW61,FSW248EPTF230061,172.17.4.1
MAD-CPD-FSW62,FSW248EPTF230062,172.17.5.1
MAD-CPD-FSW63,FSW248EPTF230063,172.17.6.1
MAD-CPD-FSW64,FSW248EPTF230064,172.17.7.1
MAD-CPD-FSW65,FSW248EPTF230065,172.17.8.1
MAD-CPD-FSW66,FSW248EPTF230066,172.17.9.1
MAD-CPD-FSW67,FSW248EPTF230067,172.17.10.1
MAD-CPD-FSW68,FSW248EPTF230068,172.17.11.1
MAD-CPD-FSW69,FSW248EPTF230069,172.17.12.1
MAD-CPD-FSW70,FSW248EPTF230070,172.17.13.1
MAD-CPD-FSW71,FSW248EPTF230071,172.17.14.1
MAD-CPD-FSW72,FSW248EPTF230072,172.17.15.1
MAD-CPD-FSW73,FSW248EPTF230073,172.17.16.1
MAD-CPD-FSW74,FSW248EPTF230074,172.17.17.1
MAD-CPD-FSW75,FSW248EPTF230075,172.17.18.1
MAD-CPD-FSW76,FSW248EPTF230076,172.17.19.1
MAD-CPD-FSW77,FSW248EPTF230077,172.17.20.1
MAD-CPD-FSW78,FSW248EPTF230078,172.17.21.1
MAD-CPD-FSW79,FSW248EPTF230079,172.17.22.1
MAD-CPD-FSW80,FSW248EPTF230080,172.17.23.1
MAD-CPD-FSW81,FSW248EPTF230081,172.17.24.1
MAD-CPD-FSW82,FSW248EPTF230082,172.17.25.1
MAD-CPD-FSW83,FSW248EPTF230083,172.17.26.1
MAD-CPD-FSW84,FSW248EPTF230084,172.17.27.1
MAD-CPD-FSW85,FSW248EPTF230085,172.17.28.1
MAD-CPD-FSW86,FSW248EPTF230086,172.17.29.1
MAD-CPD-FSW87,FSW248EPTF230087,172.17.30.1
MAD-CPD-FSW88,FSW248EPTF230088,172.17.31.1
MAD-CPD-FSW89,FSW248EPTF230089,172.17.32.1
MAD-CPD-FSW90,FSW248EPTF230090,172.17.33.1
MAD-CPD-FSW91,FSW248EPTF230091,172.17.34.1
MAD-CPD-FSW92,FSW248EPTF230092,172.17.35.1
MAD-CPD-FSW93,FSW248EPTF230093,172.17.36.1
MAD-CPD-FSW94,FSW248EPTF230094,172.17.37.1
MAD-CPD-FSW95,FSW248EPTF230095,172.17.38.1
MAD-CPD-FSW96,FSW248EPTF230096,172.17.39.1
MAD-CPD-FSW97,FSW248EPTF230097,172.17.40.1
MAD-CPD-FSW98,FSW248EPTF230098,172.17.41.1
MAD-CPD-FSW99,FSW248EPTF230099,172.17.42.1
MAD-CPD-FSW100,FSW248EPTF230100,172.17.43.1
MAD-CPD-FSW101,FSW248EPTF230101,172.17.44.1
MAD-CPD-FSW102,FSW248EPTF230102,172.17.45.1
MAD-CPD-FSW103,FSW248EPTF230103,172.17.46.1
MAD-CPD-FSW104,FSW248EPTF230104,172.17.47.1
MAD-CPD-FSW105,FSW248EPTF230105,172.17.48.1
MAD-CPD-FSW106,FSW248EPTF230106,172.17.49.1
MAD-CPD-FSW107,FSW248EPTF230107,172.17.50.1
MAD-CPD-FSW108,FSW248EPTF230108,172.17.51.1
MAD-CPD-FSW109,FSW248EPTF230109,172.17.52.1
MAD-CPD-FSW110,FSW248EPTF230110,172.17.53.1
MAD-CPD-FSW111,FSW248EPTF230111,172.17.54.1
MAD-CPD-FSW112,FSW248EPTF230112,172.17.55.1
MAD-CPD-FSW113,FSW248EPTF230113,172.17.56.1
MAD-CPD-FSW114,FSW248EPTF230114,172.17.57.1
MAD-CPD-FSW115,FSW248EPTF230115,172.17.58.1
MAD-CPD-FSW116,FSW248EPTF230116,172.17.59.1
MAD-CPD-FSW117,FSW248EPTF230117,172.17.60.1
MAD-CPD-FSW118,FSW248EPTF230118,172.17.61.1
MAD-CPD-FSW119,FSW248EPTF230119,172.17.62.1
MAD-CPD-FSW120,FSW248EPTF230120,172.17.63.1
MAD-CPD-FSW121,FSW248EPTF230121,172.17.64.1
MAD-CPD-FSW122,FSW248EPTF230122,172.17.65.1
MAD-CPD-FSW123,FSW248EPTF230123,172.17.66.1
MAD-CPD-FSW124,FSW248EPTF230124,172.17.67.1
MAD-CPD-FSW125,FSW248EPTF230125,172.17.68.1
MAD-CPD-FSW126,FSW248EPTF230126,172.17.69.1
MAD-CPD-FSW127,FSW248EPTF230127,172.17.70.1
MAD-CPD-FSW128,FSW248EPTF230128,172.17.71.1
MAD-CPD-FSW129,FSW248EPTF230129,172.17.72.1
MAD-CPD-FSW130,FSW248EPTF230130,172.17.73.1
MAD-CPD-FSW131,FSW248EPTF230131,172.17.74.1
MAD-CPD-FSW132,FSW248EPTF230132,172.17.75.1
MAD-CPD-FSW133,FSW248EPTF230133,172.17.76.1
MAD-CPD-FSW134,FSW248EPTF230134,172.17.77.1
MAD-CPD-FSW135,FSW248EPTF230135,172.17.78.1
MAD-CPD-FSW136,FSW248EPTF230136,172.17.79.1
MAD-CPD-FSW137,FSW248EPTF230137,172.17.80.1
MAD-CPD-FSW138,FSW248EPTF230138,172.17.81.1
MAD-CPD-FSW139,FSW248EPTF230139,172.17.82.1
MAD-CPD-FSW140,FSW248EPTF230140,172.17.83.1
MAD-CPD-FSW141,FSW248EPTF230141,172.17.84.1
MAD-CPD-FSW142,FSW248EPTF230142,172.17.85.1
MAD-CPD-FSW143,FSW248EPTF230143,172.17.86.1
MAD-CPD-FSW144,FSW248EPTF230144,172.17.87.1
MAD-CPD-FSW145,FSW248EPTF230145,172.17.88.1
MAD-CPD-FSW146,FSW248EPTF230146,172.17.89.1
MAD-CPD-FSW147,FSW248EPTF230147,172.17.90.1
MAD-CPD-FSW148,FSW248EPTF230148,172.17.91.1
MAD-CPD-FSW149,FSW248EPTF230149,172.17.92.1
MAD-CPD-FSW150,FSW248EPTF230150,172.17.93.1
MAD-CPD-FSW151,FSW248EPTF230151,172.17.94.1
MAD-CPD-FSW152,FSW248EPTF230152,172.17.95.1
MAD-CPD-FSW153,FSW248EPTF230153,172.17.96.1
MAD-CPD-FSW154,FSW248EPTF230154,172.17.97.1
MAD-CPD-FSW155,FSW248EPTF230155,172.17.98.1
MAD-CPD-FSW156,FSW248EPTF230156,172.17.99.1
MAD-CPD-FSW157,FSW248EPTF230157,172.17.100.1
MAD-CPD-FSW158,FSW248EPTF230158,172.17.101.1
MAD-CPD-FSW159,FSW248EPTF230159,172.17.102.1
MAD-CPD-FSW160,FSW248EPTF230160,172.17.103.1
MAD-CPD-FSW161,FSW248EPTF230161,172.17.104.1
MAD-CPD-FSW162,FSW248EPTF230162,172.17.105.1
MAD-CPD-FSW163,FSW248EPTF230163,172.17.106.1
MAD-CPD-FSW164,FSW248EPTF230164,172.17.107.1
MAD-CPD-FSW165,FSW248EPTF230165,172.17.108.1
MAD-CPD-FSW166,FSW248EPTF230166,172.17.109.1
MAD-CPD-FSW167,FSW248EPTF230167,172.17.110.1
MAD-CPD-FSW168,FSW248EPTF230168,172.17.111.1
MAD-CPD-FSW169,FSW248EPTF230169,172.17.112.1
MAD-CPD-FSW170,FSW248EPTF230170,172.17.113.1
MAD-CPD-FSW171,FSW248EPTF230171,172.17.114.1
MAD-CPD-FSW172,FSW248EPTF230172,172.17.115.1
MAD-CPD-FSW173,FSW248EPTF230173,172.17.116.1
MAD-CPD-FSW174,FSW248EPTF230174,172.17.117.1
MAD-CPD-FSW175,FSW248EPTF230175,172.17.118.1
MAD-CPD-FSW176,FSW248EPTF230176,172.17.119.1
MAD-CPD-FSW177,FSW248EPTF230177,172.17.120.1
MAD-CPD-FSW178,FSW248EPTF230178,172.17.121.1
MAD-CPD-FSW179,FSW248EPTF230179,172.17.122.1
MAD-CPD-FSW180,FSW248EPTF230180,172.17.123.1
MAD-CPD-FSW181,FSW248EPTF230181,172.17.124.1
MAD-CPD-FSW182,FSW248EPTF230182,172.17.125.1
MAD-CPD-FSW183,FSW248EPTF230183,172.17.126.1
MAD-CPD-FSW184,FSW248EPTF230184,172.17.127.1
MAD-CPD-FSW185,FSW248EPTF230185,172.17.128.1
MAD-CPD-FSW186,FSW248EPTF230186,172.17.129.1
MAD-CPD-FSW187,FSW248EPTF230187,172.17.130.1
MAD-CPD-FSW188,FSW248EPTF230188,172.17.131.1
